2023-01-11 13:16:57.9119 DEBUG Exit from Update Method..
2023-01-11 13:16:58.3601 DEBUG Enter into Update Method..
2023-01-11 13:16:58.3601 DEBUG {"Id":360,"FileName":"Employee Movement Tracker (12).pdf","ContentType":".pdf","FileSize":"6400","Guid":"93028090-5a82-4343-8a8d-8f2c119271ac","FolderId":4,"FolderName":null,"DataRoomId":1,"DataRoomName":"tes","FileDescription":null,"RelativePath":"C:\\SharBoxWorkingSpace\\EBX\\1\\1\\4\\360","IsArchived":false,"ArchivedOn":null,"IsDeleted":false,"IsActive":true,"CreatedBy":11,"CreatorName":"Ravi","CreatedOn":"2023-01-11T13:16:58.3015933+05:30","ModifiedBy":null,"ModifierName":null,"ModifiedOn":null,"DeletedBy":null,"DeletorName":null,"DeletedOn":null,"IsCheckIn":null,"CheckInBy":null,"CheckInByName":null,"CheckInOn":null,"IsCheckOut":null,"CheckOutBy":null,"CheckOutByName":null,"CheckOutOn":null,"FileVersion":"1.0","CompanyId":1,"CompanyName":"EBX","IsWorkFlowRequired":false,"IsApproved":null,"ApprovedBy":null,"ApproverName":null,"ApprovedOn":null,"WaitingWithName":null,"Status":"Save"}
2023-01-11 13:16:58.3748 DEBUG Exit from Update Method..
2023-01-11 13:16:58.4019 DEBUG Enter into Update Method..
2023-01-11 13:16:58.4019 DEBUG {"Id":1,"DataRoomName":"Perf Management","Description":"Testing","DataRoomSize":"182492528","RelativePath":"C:\\SharBoxWorkingSpace\\EBX/1/1","Guid":"98f6cd8e-6ed1-4a0f-b2d9-cab1e4d90fa5","IsArchivalRequired":true,"IsDeletionRequired":null,"IsLogsRequired":true,"ArchivalPeriod":"15","DeletionPeriod":null,"RetentionPeriod":"15","IsWorkFlowRequired":false,"IsActive":true,"CreatedBy":11,"CreatorName":"Ravi","CreatedOn":"2022-12-26T19:25:53.093","ModifiedBy":11,"ModifierName":"Ravi","ModifiedOn":"2023-01-11T13:16:58.3941697+05:30","DeletedBy":null,"DeletorName":null,"DeletedOn":null,"CompanyId":1,"CompanyName":"EBX","WorkFlowId":0,"WorkFlowName":null,"ArchivalBasedOn":"Created Date","RetentionBasedOn":"Created Date","DeletionBasedOn":null,"ArchivalType":"Local","ArchivalPath":null,"ArchivalAWSAccessKey":null,"ArchivalAWSSecurityKey":null,"ArchivalAWSRegion":null}
2023-01-11 13:16:58.4169 DEBUG Exit from Update Method..
2023-01-11 13:16:58.8755 DEBUG Enter into Update Method..
2023-01-11 13:16:58.8755 DEBUG {"Id":361,"FileName":"Employee Movement Tracker (13).pdf","ContentType":".pdf","FileSize":"6400","Guid":"fc3f78c1-7b83-480b-86c2-13e649063a19","FolderId":4,"FolderName":null,"DataRoomId":1,"DataRoomName":"tes","FileDescription":null,"RelativePath":"C:\\SharBoxWorkingSpace\\EBX\\1\\1\\4\\361","IsArchived":false,"ArchivedOn":null,"IsDeleted":false,"IsActive":true,"CreatedBy":11,"CreatorName":"Ravi","CreatedOn":"2023-01-11T13:16:58.8092878+05:30","ModifiedBy":null,"ModifierName":null,"ModifiedOn":null,"DeletedBy":null,"DeletorName":null,"DeletedOn":null,"IsCheckIn":null,"CheckInBy":null,"CheckInByName":null,"CheckInOn":null,"IsCheckOut":null,"CheckOutBy":null,"CheckOutByName":null,"CheckOutOn":null,"FileVersion":"1.0","CompanyId":1,"CompanyName":"EBX","IsWorkFlowRequired":false,"IsApproved":null,"ApprovedBy":null,"ApproverName":null,"ApprovedOn":null,"WaitingWithName":null,"Status":"Save"}
2023-01-11 13:16:58.8854 DEBUG Exit from Update Method..
2023-01-11 13:16:58.9008 DEBUG Enter into Update Method..
2023-01-11 13:16:58.9008 DEBUG {"Id":1,"DataRoomName":"Perf Management","Description":"Testing","DataRoomSize":"182498928","RelativePath":"C:\\SharBoxWorkingSpace\\EBX/1/1","Guid":"98f6cd8e-6ed1-4a0f-b2d9-cab1e4d90fa5","IsArchivalRequired":true,"IsDeletionRequired":null,"IsLogsRequired":true,"ArchivalPeriod":"15","DeletionPeriod":null,"RetentionPeriod":"15","IsWorkFlowRequired":false,"IsActive":true,"CreatedBy":11,"CreatorName":"Ravi","CreatedOn":"2022-12-26T19:25:53.093","ModifiedBy":11,"ModifierName":"Ravi","ModifiedOn":"2023-01-11T13:16:58.8958284+05:30","DeletedBy":null,"DeletorName":null,"DeletedOn":null,"CompanyId":1,"CompanyName":"EBX","WorkFlowId":0,"WorkFlowName":null,"ArchivalBasedOn":"Created Date","RetentionBasedOn":"Created Date","DeletionBasedOn":null,"ArchivalType":"Local","ArchivalPath":null,"ArchivalAWSAccessKey":null,"ArchivalAWSSecurityKey":null,"ArchivalAWSRegion":null}
2023-01-11 13:16:58.9008 DEBUG Exit from Update Method..
2023-01-11 13:16:59.3715 DEBUG Enter into Update Method..
2023-01-11 13:16:59.3715 DEBUG {"Id":362,"FileName":"Employee Movement Tracker (14).pdf","ContentType":".pdf","FileSize":"6400","Guid":"0cd59721-79f3-477a-9c62-8ae74392c7f2","FolderId":4,"FolderName":null,"DataRoomId":1,"DataRoomName":"tes","FileDescription":null,"RelativePath":"C:\\SharBoxWorkingSpace\\EBX\\1\\1\\4\\362","IsArchived":false,"ArchivedOn":null,"IsDeleted":false,"IsActive":true,"CreatedBy":11,"CreatorName":"Ravi","CreatedOn":"2023-01-11T13:16:59.322688+05:30","ModifiedBy":null,"ModifierName":null,"ModifiedOn":null,"DeletedBy":null,"DeletorName":null,"DeletedOn":null,"IsCheckIn":null,"CheckInBy":null,"CheckInByName":null,"CheckInOn":null,"IsCheckOut":null,"CheckOutBy":null,"CheckOutByName":null,"CheckOutOn":null,"FileVersion":"1.0","CompanyId":1,"CompanyName":"EBX","IsWorkFlowRequired":false,"IsApproved":null,"ApprovedBy":null,"ApproverName":null,"ApprovedOn":null,"WaitingWithName":null,"Status":"Save"}
2023-01-11 13:16:59.3715 DEBUG Exit from Update Method..
2023-01-11 13:16:59.4002 DEBUG Enter into Update Method..
2023-01-11 13:16:59.4002 DEBUG {"Id":1,"DataRoomName":"Perf Management","Description":"Testing","DataRoomSize":"182505328","RelativePath":"C:\\SharBoxWorkingSpace\\EBX/1/1","Guid":"98f6cd8e-6ed1-4a0f-b2d9-cab1e4d90fa5","IsArchivalRequired":true,"IsDeletionRequired":null,"IsLogsRequired":true,"ArchivalPeriod":"15","DeletionPeriod":null,"RetentionPeriod":"15","IsWorkFlowRequired":false,"IsActive":true,"CreatedBy":11,"CreatorName":"Ravi","CreatedOn":"2022-12-26T19:25:53.093","ModifiedBy":11,"ModifierName":"Ravi","ModifiedOn":"2023-01-11T13:16:59.3941364+05:30","DeletedBy":null,"DeletorName":null,"DeletedOn":null,"CompanyId":1,"CompanyName":"EBX","WorkFlowId":0,"WorkFlowName":null,"ArchivalBasedOn":"Created Date","RetentionBasedOn":"Created Date","DeletionBasedOn":null,"ArchivalType":"Local","ArchivalPath":null,"ArchivalAWSAccessKey":null,"ArchivalAWSSecurityKey":null,"ArchivalAWSRegion":null}
2023-01-11 13:16:59.4002 DEBUG Exit from Update Method..
2023-01-11 13:16:59.8836 DEBUG Enter into Update Method..
2023-01-11 13:16:59.8836 DEBUG {"Id":363,"FileName":"Project Tracker.pdf","ContentType":".pdf","FileSize":"6208","Guid":"b21aa9f1-411c-478a-ac84-d60cef74188c","FolderId":4,"FolderName":null,"DataRoomId":1,"DataRoomName":"tes","FileDescription":null,"RelativePath":"C:\\SharBoxWorkingSpace\\EBX\\1\\1\\4\\363","IsArchived":false,"ArchivedOn":null,"IsDeleted":false,"IsActive":true,"CreatedBy":11,"CreatorName":"Ravi","CreatedOn":"2023-01-11T13:16:59.8373116+05:30","ModifiedBy":null,"ModifierName":null,"ModifiedOn":null,"DeletedBy":null,"DeletorName":null,"DeletedOn":null,"IsCheckIn":null,"CheckInBy":null,"CheckInByName":null,"CheckInOn":null,"IsCheckOut":null,"CheckOutBy":null,"CheckOutByName":null,"CheckOutOn":null,"FileVersion":"1.0","CompanyId":1,"CompanyName":"EBX","IsWorkFlowRequired":false,"IsApproved":null,"ApprovedBy":null,"ApproverName":null,"ApprovedOn":null,"WaitingWithName":null,"Status":"Save"}
2023-01-11 13:16:59.8836 DEBUG Exit from Update Method..
2023-01-11 13:16:59.9044 DEBUG Enter into Update Method..
2023-01-11 13:16:59.9044 DEBUG {"Id":1,"DataRoomName":"Perf Management","Description":"Testing","DataRoomSize":"182511536","RelativePath":"C:\\SharBoxWorkingSpace\\EBX/1/1","Guid":"98f6cd8e-6ed1-4a0f-b2d9-cab1e4d90fa5","IsArchivalRequired":true,"IsDeletionRequired":null,"IsLogsRequired":true,"ArchivalPeriod":"15","DeletionPeriod":null,"RetentionPeriod":"15","IsWorkFlowRequired":false,"IsActive":true,"CreatedBy":11,"CreatorName":"Ravi","CreatedOn":"2022-12-26T19:25:53.093","ModifiedBy":11,"ModifierName":"Ravi","ModifiedOn":"2023-01-11T13:16:59.8994741+05:30","DeletedBy":null,"DeletorName":null,"DeletedOn":null,"CompanyId":1,"CompanyName":"EBX","WorkFlowId":0,"WorkFlowName":null,"ArchivalBasedOn":"Created Date","RetentionBasedOn":"Created Date","DeletionBasedOn":null,"ArchivalType":"Local","ArchivalPath":null,"ArchivalAWSAccessKey":null,"ArchivalAWSSecurityKey":null,"ArchivalAWSRegion":null}
2023-01-11 13:16:59.9044 DEBUG Exit from Update Method..
